"","response.docs.lead_paragraph"
"7096","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"7097","New York officials canceled the state’s Democratic presidential primary on Monday, prompting an immediate backlash from the campaign of Senator Bernie Sanders and his legion of progressive supporters who had hoped to amass convention delegates and help shape the party’s platform in August."
"7098","WASHINGTON — The Supreme Court said on Monday that it would not decide what would have been its first decision on the scope of the Second Amendment in almost a decade, finding that New York City’s repeal of the gun control regulation under challenge had made the matter moot."
"7099",""
"7100",""
"7101","President Trump met with Gov. Ron DeSantis of Florida and Dr. Deborah Birx, the White House coronavirus response coordinator, in the Oval Office on Tuesday. "
"7102","Hillary Clinton, the 2016 Democratic presidential nominee and a political veteran who knows firsthand what it is like to compete against President Trump, threw her support behind Joseph R. Biden Jr. on Tuesday, the latest party leader to make the case for returning the White House to Democratic hands in November."
"7103","Truck drivers and warehouse workers at Cort Furniture Rental in New Jersey had spent months trying to unionize in the hopes of securing higher wages and better benefits. By early this year, they thought they were on the cusp of success."
"7104","President Trump has often described this pandemic as our “war” with an “invisible enemy” — the coronavirus. That war metaphor is wrong and misleading."
"7105","(Want to get this briefing by email? Here’s the sign-up.) "
"7106","“Our Sleepy Golden Storm” is what my wife, Yiseon, calls him. The night he was born in Gimhae, South Korea, a typhoon blew in from the Sea of Japan. “Am I in labor?” Yiseon asked, hunched over a beanbag chair. “I can’t tell.” We left so late, flying down the rain-slicked neon boulevards to the clinic, that there wasn’t time for an epidural, or any painkiller other than a midwife’s massage. I had peppermint oil and blood on my hands when we first heard him cry. Outside, the storm stripped ginkgos bare, burying the sidewalks under damp gold leaves. — Joshua Cornwell"
"7107","This article is part of our continuing Fast Forward series, which examines technological, economic, social and cultural shifts that happen as businesses evolve."
"7108","Abe Conlon and Adrienne Lo aren’t waiting any longer — not for a government directive, a bank loan or a guardian angel. They’re closing Fat Rice, their award-winning restaurant in Chicago, and opening a new business in its place."
"7109","In 1916, Albert Einstein made a prediction he thought could never be proved. He proposed that the acceleration or collision of stellar masses, such as black holes, would cause ripples that warp space and time. He called them gravitational waves. But he also supposed they would be far too small to detect. How do you measure something invisible? Nearly five decades later, Einstein’s unsolved mystery drove the physicist Rai Weiss to hunt for answers."
"7110","Mel Baggs, whose forthright writings and films about being a nonverbal person with autism made an impact in the fields of neurodiversity and disability rights, died on April 11 in Burlington, Vt., at age 39."
"7111","At the beginning of my second trimester in late March, I was contacted by my obstetrician’s office and was told to come alone for my next ultrasound. At the appointment I learned that my next appointment would be almost two months later. I was incensed."
"7112","Sign up here to get On Politics in your inbox every weekday."
"7113","The death of the Detroit house-music D.J. and producer Mike Huckaby on Friday, at 54, sent a shock wave through the music community he called home. Huckaby — who died from complications of a stroke and Covid-19 at Beaumont Hospital in Detroit’s Royal Oak suburb — was one of global dance music’s most widely beloved figures."
"7114","At this time of year, the dancer Erica Lall, a member of the corps of American Ballet Theater, would normally be preparing for eight weeks of performances at the Metropolitan Opera House. But in mid-March, as the company moved toward calling off its spring season, she found herself back in her hometown Cypress, Tex., with some extra time on her hands."
"7115","This is the time of year when, in the normal course of 21st-century events, an army of stylists, makeup artists, florists, designers and celebrities would be about to descend on the Carlyle and Mark hotels in New York, clogging the elevators with garment bags bearing the hautest names: Christian Dior, Louis Vuitton, Bottega Veneta, Versace."
"7116","“I’m sending you money to buy rice,” my mom texted me in early March. She had gone to the West Coast to help my sister with her new baby and stayed when it became too risky to fly. As news of the coronavirus intensified, so did her fretting."
"7117","Jerome H. Powell, the Federal Reserve chair, struck a worried tone at his first regularly scheduled news conference since the coronavirus shuttered the United States economy, calling the job losses taking hold “heartbreaking” and predicting a long road ahead."
"7118","In the summer of 1964, Motown was in a bind. Its biggest female star, Mary Wells, had just reached No. 1 with “My Guy,” and then quit the label — the first major defection from the young company, which had set itself up in Detroit as a flawless factory of black pop."
"7119","MEXICO CITY — There is an old saying here: “When the United States gets flu, Mexico gets pneumonia.” This year, it got a new punchline: “So what happens when the United States gets coronavirus?”"
"7120","Facebook users in five key swing states have been seeing a peculiar sequence of political ads pixelating their news feeds for the past six months."
"7121","Teachers are the original gatherers. They’re in charge of bringing a group together and of thinking about how to create an experience for the whole, every single day. And teachers are in the transformation business. At the end of every school year, young people are supposed to leave changed."
"7122","Sometimes the arguments take place on the street. More often, they appear to occur in a supermarket."
"7123","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. If you’re interested in hearing from The Times regularly about great TV, sign up for our Watching newsletter and get recommendations straight to your inbox."
"7124","WASHINGTON — One of the enduring mysteries left unsolved by the Mueller inquiry was whether Roger J. Stone Jr., President Trump’s longtime friend and political adviser, ever communicated during the 2016 presidential campaign with Julian Assange, the founder of WikiLeaks."
"7125","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"7126","The L.P.G.A. Tour rescheduled its tentative events to July from June on Wednesday because of the coronavirus pandemic, and the P.G.A. of America announced that the Women’s P.G.A. Championship, a major, was moving to October from June. Five other L.P.G.A. events were canceled."
"7127","For the world’s 1.8 billion Muslims, the holy month of Ramadan, which began last week, is a social and spiritual high point, a time to gather with friends and family, and to focus on fasting, prayer and scripture."
"7128","Most of my childhood friends from our predominantly white New Jersey suburb have a story about how their love of sports began — usually involving their fathers. Shaun’s played catch with him for hours in the backyard and took him to baseball card shows, hence Shaun’s love of baseball. Matt’s brought him up watching Knicks games in the basement, so Matt loved basketball."
"7129"," [Want to get New York Today by email? Here’s the sign-up.]"
"7130","Millions of people gave their email addresses to Quibi, JetBlue, Wish and other companies — and those email addresses got away."
"7131","SAN FRANCISCO — Facebook cautioned Wall Street on Wednesday that it could face intensifying difficulties in its advertising business from the coronavirus pandemic, but also indicated that the toll would not be deep."
"7132","Over the years, architects have not been the only ones to inscribe New York’s skyline — the signature image of the last American century — across the urban ether."
"7133","With the endless stream of urgent news pushing the boundaries of our mental health, it seems laughable to suggest optimism right now. Maybe you’re worried about losing your job, losing your home or losing a loved one. Maybe you already have. Maybe you’re worried about your own health, and maybe you feel helpless or doomed. Whatever it is, optimism feels like a luxury that few of us can afford."
"7134","FRANKFURT — As the German airline Lufthansa struggles to stay in business, it’s no surprise that its employees are suffering, too. But as is the case at other struggling companies, some workers are suffering more than others."
"7135","At their board meeting on Friday, the decision makers of France’s top professional soccer league were making plans for the resumption of their competition: plans for safety protocols, training schedules and possible dates for when the first games could be played."
"7136","This briefing has ended. Follow our latest coverage of the coronavirus pandemic."
"7137","WASHINGTON — The Trump administration moved this week to try to mitigate the effects from the shutdowns of beef, pork and poultry processing facilities amid the Covid-19 pandemic that have potentially endangered an important part of the nation’s food supply chain. But the policy moves have generated confusion."
"7138","LONDON — Tucked in a trendy co-working complex in West London, just past the food court and the payment processing start-up, is perhaps the most technologically backward-looking record company in the world."
"7139","In the video, posted three weeks ago on Twitter, Jameis Winston has his right arm cocked, feet shuffling as if he’s moving around the pocket, as his trainer launches an oversize speed bag at him, again and again. The drill, it seems, is intended to simulate defensive pressure, and Winston, looking trim and coiled, evades the bag each time."
"7140","For those of us fortunate enough to quarantine, sheltering in place for the foreseeable future, time has begun to pass ever so strangely. The days oozing on by, unfurling on top of one another, without the clear distinctions of commutes, errands, routines and workplaces to orient us. Unable to dine out, or see friends, extended family or even those three people at work you actually like, we’re aching for alternative outlets."
"7141","Instagram reminds me of a strobe-lit party sprawling down an infinite corridor. Frankly, I find it a little overwhelming. You may start off somewhere familiar, with a small group of friends, but before you know it, you’re bumping into famous photographers, stumbling upon a lecture about women in art history or an archive of public-domain art works, or getting lost amid imagery that swings rapidly from cheerful to moody and back again."
"7142","FRANKFURT — As the German airline Lufthansa struggles to stay in business, it’s no surprise that its employees are suffering, too. But as is the case at other struggling companies, some workers are suffering more than others."
"7143","With the endless stream of urgent news pushing the boundaries of our mental health, it seems laughable to suggest optimism right now. Maybe you’re worried about losing your job, losing your home or losing a loved one. Maybe you already have. Maybe you’re worried about your own health, and maybe you feel helpless or doomed. Whatever it is, optimism feels like a luxury that few of us can afford."
"7144","If an effective and safe coronavirus vaccine were available today, would it be enough to stop this pandemic? That would depend on whether everyone who needs it can get it. But if what took place during the 2009 H1N1 pandemic happens again, then the answer is no."
"7145",""
"7146","In this time of lockdown, is it more ethical to order necessary items for delivery or to go get them myself? There are risks to others in both scenarios — whether to the workers or myself and my family. Is ordering for delivery helping to provide work for the delivery people or burdening that system by taking time away from those at higher risk than me? Anne, Boston"
"7147","“Your head is extremely heavy,” says Mia Noblet, 25, who holds multiple world records for slacklining, including one for walking blindfolded on a one-inch-wide nylon strap stretched 1,539 feet between two towering rock formations in Moab, Utah. To get your balance, stretch out your arms loosely to either side like wings, elbows bent, palms forward. If you’re becoming off-kilter, feel free to wave your arms, jut a hip to one side or even kick a leg out — but always keep your head directly above your line. Where your head goes, the rest of your body will follow."
"7148","I wanted to tell you about a simple recipe, one with a straightforward but rewarding technique, with ingredients that would be both inexpensive and easy to find — ingredients that would, ideally, already be lying around your house so you didn’t even have to go out to buy them. Beans, I thought. Definitely beans. Specifically, rajma chawal, the Punjabi-style red beans and rice that I grew up with, bobbing in a garlicky, gingery tomato sauce, finished with a generous glug of heavy cream and some quick-pickled onion. This was my family’s store-cupboard comfort food — the dish my mother made on our first night home after being away, because a version of it could be assembled from whatever was already in the pantry and fridge."
"7149","A few months ago, Andrew Messick, the chief executive of Ironman, figured his company had diversified pretty well by organizing endurance races for fervent fans and participants all over the world."
"7150","Now that nonessential businesses are starting to reopen in parts of the U.S., many are asking how soon children in those reopening districts can go back to school. But for most of the country, the answer looks likely to be, not until summer at the soonest, and maybe not until fall."
"7151","Now that nonessential businesses are starting to reopen in parts of the U.S., many are asking how soon children in those reopening districts can go back to school. But for most of the country, the answer looks likely to be, not until summer at the soonest, and maybe not until fall."
"7152","To the Editor:"
"7153","It is often said that “laughter is the best medicine.” Do you find this to be true in your own experience? What role do laughter and humor play in your life during these difficult times?"
"7154","Sports get postponed, sports get canceled, and, yes, sometimes, someday, somewhere, somehow, sports can resume."
"7155","“The idea was to give him more soldiers in his body to fight this war.”"
"7156","WASHINGTON — Kweisi Mfume, a former Democratic congressman and president of the N.A.A.C.P., won a special election on Tuesday to represent Baltimore in Congress, reclaiming a seat he held nearly 25 years ago to finish the term of his successor, Representative Elijah E. Cummings, who died in October."
"7157","An article on Tuesday about lawmakers and state officials who want more flexibility in spending federal emergency aid misstated the amount of money that bipartisan legislation provided for state and local governments. It was $500 billion, not million."
"7158","Coffee can be a healthful drink. It may be even better for you when brewed with a paper filter."
"7159","A new test for the coronavirus is so simple and straightforward, almost anyone could do it: Spit a glob of saliva into a cup, close the lid and hand it over."
"7160","Four seconds of high-intensity exertion repeated periodically throughout the day might counteract some of the unhealthy metabolic consequences of sitting for hours, according to a surprising and timely new study of the potentially large benefits of diminutive workouts."
"7161","Peace Corps volunteers and other national service participants who lost their positions during the coronavirus pandemic will now be eligible for unemployment benefits as part of the $2 trillion economic relief plan, according to guidance released by the Department of Labor this week."
"7162","The invisible killer is testing global capitalism as never before."
"7163","As the pandemic goes on, stay-at-home guidelines are forcing many families into day upon day of togetherness. Might some families at least be making the best of things by talking to each other more? Really talking?"
"7164","BEIJING — China delivered its strongest statement of confidence yet that it has tamed the country’s coronavirus epidemic, announcing on Wednesday it would hold a much-delayed top political gathering late next month and ease quarantine restrictions in the capital."
"7165","The Charles Dickens Museum in London has fallen on hard times. For 95 years, the collection, in the home of the “Oliver Twist” and “Great Expectations” author, has been financed by ticket sales and other earned income. But with no visitors since March, its director fears that its temporary closure could become permanent."
"7166","Tiffany Lewis didn’t need a doctor to tell her that her son’s speech was delayed. As a special education tutor, she knew he should have been able to say more than two or three words at 18 months. He couldn’t say “Mama” or anything close to it. When a pediatrician told her that toddlers at his age typically used dozens of words, she became anxious."
"7167","Milena Jelinek spent her youth in Czechoslovakia learning to write under the tutelage of novelists like Milan Kundera and protesting Communism with friends like Vaclav Havel."
"7168","WASHINGTON — President Trump’s allies cheered new documents unsealed on Wednesday in the criminal case of his former national security adviser Michael T. Flynn, saying that internal investigative notes showed that Mr. Flynn was set up by F.B.I. officials intent on undermining the president."
"7169","Peace Corps volunteers and other national service participants who lost their positions during the coronavirus pandemic will now be eligible for unemployment benefits as part of the $2 trillion economic relief plan, according to guidance released by the Department of Labor this week."
"7170","The invisible killer is testing global capitalism as never before."
"7171","Among our obligations during the coronavirus pandemic is a simple but difficult one: to stay home. The instruction to stay home when possible — and to avoid social contact when it is not — may come as an official order, a community or workplace recommendation, or as impassioned pleading from a friend or family member concerned about our health. But in each case, the reasoning behind it is the same: to avoid both catching the virus and transmitting it to others."
"7172","My patients continue to have medical problems that are not related to the coronavirus. But now, when I offer recommendations — especially those that possibly involve putting themselves at risk of contracting a Covid-19 infection — they often reject my advice."
"7173","A new test for the coronavirus is so simple and straightforward, almost anyone could do it: Spit a glob of saliva into a cup, close the lid and hand it over."
"7174","LONDON — Prime Minister Boris Johnson’s life has always had a you-can’t-make-this-up quality to it, never more so than this month, when he went from desperate coronavirus patient, kept alive by oxygen, to the proud father of a baby boy — his fifth, sixth or seventh child, depending on who’s counting."
"7175","This preview includes spoilers for “Parks and Recreation.”"
"7176","To the Editor:"
"7177","While many professional sports leagues have paused operations during the coronavirus pandemic, the National Women’s Hockey League is forging ahead with ambitious plans for growth."
"7178","BEIJING — China delivered its strongest statement of confidence yet that it has tamed the country’s coronavirus epidemic, announcing on Wednesday it would hold a much-delayed top political gathering late next month and ease quarantine restrictions in the capital."
"7179","In seven hard-hit states, total deaths are nearly 50 percent higher than normal, according to new C.D.C. statistics, suggesting that the virus has killed far more people than the number in official counts."
"7180","Featured Article: “Now Virtual and in Video, Museum Websites Shake Off the Dust” by Jason Farago"
"7181","Milena Jelinek spent her youth in Czechoslovakia learning to write under the tutelage of novelists like Milan Kundera and protesting Communism with friends like Vaclav Havel."
"7182","BERLIN — After nine years of delays, Germany’s third-largest airport, in Berlin, is set to open — just as the global coronavirus pandemic is vastly reducing air traffic."
"7183","Tennys Sandgren, who was on a roll before professional tennis shut down, has had enough of video games and self-isolation in his home near Nashville, Tenn."
"7184","As the pandemic goes on, stay-at-home guidelines are forcing many families into day upon day of togetherness. Might some families at least be making the best of things by talking to each other more? Really talking?"
"7185","BEIJING — China delivered its strongest statement of confidence yet that it has tamed the country’s coronavirus epidemic, announcing on Wednesday it would hold a much-delayed top political gathering late next month and ease quarantine restrictions in the capital."
"7186","Terry F. Lenzner, a bulldog investigator with a Harvard pedigree whose career took him from pursuing civil rights violators in the South through the Watergate hearings and decades of sometimes controversial private investigations, died on April 23 in Washington. He was 80."
"7187","Soon after a revered Hasidic rabbi died of the coronavirus in Brooklyn on Tuesday, his fellow congregants informed the Police Department of an unexpected decision: Despite the coronavirus restrictions now in place, they would hold a public funeral."
"7188","Featured Article: “Now Virtual and in Video, Museum Websites Shake Off the Dust” by Jason Farago"
"7189","There is little respite for the nurses working with coronavirus patients at N.Y.U. Langone Health."
"7190","Milena Jelinek spent her youth in Czechoslovakia learning to write under the tutelage of novelists like Milan Kundera and protesting Communism with friends like Vaclav Havel."
"7191","LONDON — Prime Minister Boris Johnson’s life has always had a you-can’t-make-this-up quality to it, never more so than this month, when he went from desperate coronavirus patient, kept alive by oxygen, to the proud father of a baby boy — his fifth, sixth or seventh child, depending on who’s counting."
"7192","Modest results from a federal trial of an experimental drug helped send the stock market soaring on Wednesday, another sign of the desperation for a viable treatment against the coronavirus."
"7193","President Trump and Vice President Mike Pence participated in a meeting on Wednesday with industry executives about reopening the economy."
"7194","This week’s properties include a four-bedroom in Hopewell, N.J., and a five-bedroom in Centerport, N.Y."
"7195","In seven hard-hit states, total deaths are nearly 50 percent higher than normal, according to new C.D.C. statistics, suggesting that the virus has killed far more people than the number in official counts."
"7196","Featured Article: “Now Virtual and in Video, Museum Websites Shake Off the Dust” by Jason Farago"
"7197","There is little respite for the nurses working with coronavirus patients at N.Y.U. Langone Health."
"7198","Last month, global downloads of the apps Zoom, Houseparty and Skype increased more than 100 percent as video conferencing and chats replaced the face-to-face encounters we are all so sorely missing. Their faces arranged in a grid reminiscent of the game show “Hollywood Squares,” people are attending virtual happy hours and birthday parties, holding virtual business meetings, learning in virtual classrooms and having virtual psychotherapy."
"7199","BERLIN — After nine years of delays, Germany’s third-largest airport, in Berlin, is set to open — just as the global coronavirus pandemic is vastly reducing air traffic."
"7200","WASHINGTON — President Trump is pressing his health officials to pursue a crash development program for a coronavirus vaccine that could be widely distributed by the beginning of next year, despite widespread skepticism that such an effort could succeed and considerable concern about the implications for safety."
"7201","For more than three weeks, progressive activists and women’s rights advocates debated how to handle an allegation of sexual assault against Joseph R. Biden Jr. The conversations weren’t easy, nor were the politics: Mr. Biden, the presumptive Democratic presidential nominee, faced one allegation; his opponent, President Trump, at least a dozen."
"7202","Our new Mentor Text series spotlights writing from The Times that students can learn from and emulate."
"7203","With no box office to sift through during this pandemic, we’re making do, once again, with old numbers. And the top movies for the weekend of April 19, 2002, are loaded with stars. That’s worth mentioning because it wouldn’t happen now on any weekend, really. We used to rely on these people to shine in anything — gold or crap, in January, December or July (although, with January, a real star should never want his bluff called). That weekend was loaded with stars in the good and godawful but mostly the so-so."
"7204","Sign up here to get On Politics in your inbox every weekday."
"7205","Stocks fell on Thursday, giving up some of their gains from the day before, after reports that showed millions more Americans applied for weekly unemployment benefits and consumer spending collapsed."
"7206","“The garment factory helped me and my family to get out of poverty. But the coronavirus has pushed me back in.”"
"7207","States around the country continued on Thursday to navigate a high-stakes public health balancing act, with some preparing to ease coronavirus restrictions and others imposing new ones — all under the watchful eye of stir-crazy residents eager to return to their favorite stores, restaurants and beaches."
"7208","A week after the bodies of two transgender women were found in a badly burned car in Puerto Rico, the police said Thursday that they had arrested two men in connection with the killings and had turned them over to the F.B.I."
"7209","Tennys Sandgren, who was on a roll before professional tennis shut down, has had enough of video games and self-isolation in his home near Nashville, Tenn."
"7210","When Alice Wu wrote and directed her 2005 debut, “Saving Face,” she knew it wasn’t going to be your typical Hollywood rom-com. Other than the “Last Emperor” star Joan Chen, cast wildly against type as a frumpy (until she isn’t), mysteriously pregnant mom, the ensemble consisted largely of unknowns. Much of the film was set in Flushing, Queens, and not even the neighborhood’s prettiest parts; and the story itself focused on a budding lesbian relationship between two Chinese-American overachievers."
"7211","Joy Harjo has been appointed to a second term as the nation’s poet laureate, the Library of Congress announced on Thursday."
"7212","For more than three weeks, progressive activists and women’s rights advocates debated how to handle an allegation of sexual assault against Joseph R. Biden Jr. The conversations weren’t easy, nor were the politics: Mr. Biden, the presumptive Democratic presidential nominee, faced one allegation; his opponent, President Trump, at least a dozen."
"7213","Sign up here to get On Politics in your inbox every weekday."
"7214","When Representative Justin Amash, a Republican-turned-independent from Michigan, started a presidential exploratory committee on Tuesday, he caused immediate head-exploding from partisans on both sides. Mr. Amash, 40, intends to seek the Libertarian Party nomination."
"7215","People everywhere are stuck inside waiting out the Covid-19 pandemic — but of course, some are more cramped than others. A new study by RentCafé offers insight into where American renters have the least amount of personal space."
"7216",""
"7217","For about $1,000 each, they hoped to find a decent place near a good bagel store. Now they’re stuck there as they wait out the lockdown."
"7218","This obituary is part of a series about people who have died in the coronavirus pandemic. Read about others here."
"7219","I am, in the best circumstances, a poor loser. I’m also a clumsy, fidgety winner."
"7220","Leadership may be hard to define, but in times of crisis it is easy to identify. As the pandemic has spread fear, disease and death, national leaders across the globe have been severely tested. Some have fallen short, sometimes dismally, but there are also those leaders who have risen to the moment, demonstrating resolve, courage, empathy, respect for science and elemental decency, and thereby dulling the impact of the disease on their people."
"7221","ADDIS ABABA, Ethiopia — On April 15, Group of 20 countries offered temporary relief to some of the world’s lowest-income countries by suspending debt repayments until the end of the year. It is a step in the right direction and provides an opportunity to redirect financial resources toward dealing with the coronavirus pandemic."
"7222","In New Haven, Conn., a man broke into a Cuban restaurant and spent days drinking his way through the liquor selection. In San Jose, Calif., a restaurant owner watched from his phone as security cameras recorded a burglar’s helping himself to the best bottles in the bar. And in San Francisco, a restaurant in the city’s wholesale Flower Mart was robbed or vandalized four times in less than a month."
"7223","“I’ve gone full Victorian,” said Rhian Rees, 34, of flower pressing, a childhood hobby she’s rediscovered in quarantine. “It feels like we’re back in the old days when life felt more fragile.”"
"7224","By now you may have heard that baby boomers were slow to take seriously the spread of the coronavirus."
"7225","WASHINGTON — President Trump’s allies cheered new documents unsealed on Wednesday in the criminal case of his former national security adviser Michael T. Flynn, saying that internal investigative notes showed that Mr. Flynn was set up by F.B.I. officials intent on undermining the president."
"7226","Our new Mentor Text series spotlights writing from The Times that students can learn from and emulate."
"7227","My ex-husband, the father of my two young children, moved to the Catskills with his girlfriend. He hasn’t been seeing our kids during the pandemic because he says his girlfriend is “terrified she will die if they visit.” She claims to have a lung issue (that he only learned about recently). The kids and I have been staying at home in Brooklyn for over a month. No one is sick. And I’ve been on my own with them this whole time. I could use a little break. Can I ask my ex to take them to the Catskills for a visit?"
"7228","Contradiction seems the only constant in the Covid-19 crisis."
"7229","SOUDERTON, Pa. — On a normal day, work at a meatpacking plant is not easy. The slaughterhouse is boiling hot. People who aren’t used to the temperature can feel as if they are experiencing high blood pressure. The freezer is super cold and will amplify any flulike symptoms. Workers wear as many layers as they can to stay warm, but it is difficult."
"7230","Sometime in 1989, Herbert Darling got a call: A hunter told him he had come across a tall, straight American chestnut tree on Darling’s property in Western New York’s Zoar Valley. Darling knew that chestnuts were once among the area’s most important trees. He also knew that a deadly fungus had all but wiped out the species more than a half-century earlier. When he heard the hunter’s report of having seen a living chestnut whose trunk was two feet thick and rose to the height of a five-story building, he was skeptical. “I wasn’t sure I believed he knew what one was,” Darling says."
"7231","Leadership may be hard to define, but in times of crisis it is easy to identify. As the pandemic has spread fear, disease and death, national leaders across the globe have been severely tested. Some have fallen short, sometimes dismally, but there are also those leaders who have risen to the moment, demonstrating resolve, courage, empathy, respect for science and elemental decency, and thereby dulling the impact of the disease on their people."
"7232","This obituary is part of a series about people who have died in the coronavirus pandemic. Read about others here."
"7233","Listen and subscribe to our podcast from your mobile device:"
"7234","LIMA, Peru — The bus terminals in Lima are so crowded with people waiting to escape to the countryside that families are sleeping outside, side by side."
"7235","People everywhere are stuck inside waiting out the Covid-19 pandemic — but of course, some are more cramped than others. A new study by RentCafé offers insight into where American renters have the least amount of personal space."
"7236","For about $1,000 each, they hoped to find a decent place near a good bagel store. Now they’re stuck there as they wait out the lockdown."
"7237",""
"7238","As high schools approach the end of an academic year without proms or field trips or graduation ceremonies, another fundamental part of American education is being transformed: the report card."
"7239","I am, in the best circumstances, a poor loser. I’m also a clumsy, fidgety winner."
"7240","EGG HARBOR, N.J. — Jean Wickham’s two sons are in college. Her husband has worked at the same New Jersey casino for 36 years."
"7241","With the onset of the coronavirus, Malta announced that it was too overwhelmed to rescue migrants making the precarious crossing of the Mediterranean Sea, where the tiny island nation has been on the front line of the maritime migration route over the past decade."
"7242","Jordan Casteel’s exhibition “Within Reach” is currently hanging on the second floor of the temporarily shuttered New Museum. The situation is somewhat paradoxical, given that the show’s most prominent theme is closeness — something that’s been severely disrupted by the coronavirus crisis. Yet that also makes it a good time to look at Ms. Casteel’s work however we can — in a digital walk-through and in the catalog — and think about the vision of community it offers."
"7243","States around the country continued on Thursday to navigate a high-stakes public health balancing act, with some preparing to ease coronavirus restrictions and others imposing new ones — all under the watchful eye of stir-crazy residents eager to return to their favorite stores, restaurants and beaches."
"7244","WASHINGTON — Joseph R. Biden Jr. will publicly address an allegation of sexual assault for the first time in an appearance on morning television on Friday, after weeks of silence on the issue that had prompted frustration from Democrats and attacks from Republicans seeking to weaken him for a general election contest against President Trump. "
"7245","A week after the bodies of two transgender women were found in a badly burned car in Puerto Rico, the police said Thursday that they had arrested two men in connection with the killings and had turned them over to the F.B.I."
"7246","Tennys Sandgren, who was on a roll before professional tennis shut down, has had enough of video games and self-isolation in his home near Nashville, Tenn."
"7247","As unemployment soars across the country, tenants rights groups and community nonprofits have rallied around an audacious goal: to persuade the government to halt rent and mortgage payments — without back payments accruing — for as long as the economy is battered by the coronavirus."
"7248","Featured Article: “Black Americans Face Alarming Rates of Coronavirus Infection in Some States” by John Eligon, Audra D.S. Burch, Dionne Searcey and Richard A. Oppel Jr."
"7249","Welcome to the Climate Fwd: newsletter! Join us Friday at 1 p.m. Eastern for the final video call in our Greenhouse series. Our global climate reporter, Somini Sengupta, will talk with the chefs Marcus Samuelsson and Matthew Orlando about cooking creatively and sustainably. You can RSVP here. If you missed last week’s call, you can watch it here."
"7250","Being married can be tough. Layer on the incredible stress of a global pandemic, coupled with mandated shelter in place rules so you see your partner more than ever before, and add subpar online home schooling just for fun, and you have a recipe for turbulence in your relationship."
"7251","When most people think of the New Deal, they think of the enduring institutions it created — above all, the web of agencies and programs that has provided the social safety net, such as it is, for life in the United States since the 1950s. A national retirement system, public housing, collective bargaining, unemployment insurance, the minimum wage — all had their origins during the Great Depression."
"7252","On the night Andrew Yang dropped out of the Democratic presidential primary, he said the sorts of things politicians say after a disheartening defeat: “We are just getting started!” and “This is the beginning!”"
"7253","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"7254","When the Krewe of Zulu parade rolled out onto Jackson Avenue to kick off Mardi Gras festivities on Feb. 25, the party started for black New Orleans. Tens of thousands of people lined the four-and-a-half-mile route, reveling in the animated succession of jazz musicians, high-stepping marching bands from historically black colleges and universities and loose-limbed dancers dressed in Zulu costumes, complete with grass skirts and blackface makeup, an homage to the Zulu people of South Africa and, for some, a satirical spit in the eye to the past, when Mardi Gras was put on by clubs of white men who barred black people from taking part."
"7255","Welcome to the Climate Fwd: newsletter! Join us Friday at 1 p.m. Eastern for the final video call in our Greenhouse series. Our global climate reporter, Somini Sengupta, will talk with the chefs Marcus Samuelsson and Matthew Orlando about cooking creatively and sustainably. You can RSVP here. If you missed last week’s call, you can watch it here."
"7256","LOS ANGELES — Universal Pictures took a victory lap over “Trolls World Tour” on Tuesday morning, saying that the film’s successful video-on-demand release had proved a new business model. The studio vowed to make more movies available without an exclusive theatrical run, even when theaters reopen."
"7257","This Mediterranean-style villa, on a one-acre hillside lot sprinkled with tropical fruit trees, is situated on a narrow peninsula jutting from the southeastern coast of Grenada. The three-bedroom main house, built in 1995 and renovated in 2009, and its one-bedroom guesthouse, share a 30-foot dock and views of Westerhall Bay, which feeds into the Caribbean Sea."
"7258","Being married can be tough. Layer on the incredible stress of a global pandemic, coupled with mandated shelter in place rules so you see your partner more than ever before, and add subpar online home schooling just for fun, and you have a recipe for turbulence in your relationship."
"7259","The coronavirus pandemic has transformed the ebb and flow of daily life in countless ways. Americans are comfort-eating,  cringe-watching and using their phones for actual  voice-calling. And, in New York City (and no doubt other places under stay-home orders), people are also staying under the covers a little bit longer."
"7260","It’s no wonder the buyout firm Sycamore Partners is trying to back out of its $525 million deal to buy a majority of Victoria’s Secret from struggling L Brands."
"7261","Is it a conflict of interest for news outlets to accept federal money under the Paycheck Protection Program? Will taking government funds cause them to go soft in their coverage of those in power?"
"7262","A grass-roots charity auction on Twitter in support of comic-book retailers whose businesses have been disrupted by the coronavirus pandemic has netted more than $430,000."
"7263","(Want to get this briefing by email? Here’s the sign-up.)"
